refDes,instrument,zarrFile,nearestNeighbors,dataParameters,depths,depthMinMax,decimationAlgo
RS03AXPD-DP03A-01-CTDPFL304,CTD-PROFILER-XO2,RS03AXPD-DP03A-01-CTDPFL304-recovered_inst-dpc_ctd_instrument_recovered,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,sea_water_practical_salinity""","""200,400,1200,1500,2000,2500,2600""","""150,2650""",lttb
RS01SBPD-DP01A-01-CTDPFL104,CTD-PROFILER-XO2,RS01SBPD-DP01A-01-CTDPFL104-recovered_inst-dpc_ctd_instrument_recovered,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,sea_water_practical_salinity""","""200,400,1200,1500,2000,2500,2900""","""150,2900""",lttb
CE04OSPD-DP01B-01-CTDPFL105,CTD-PROFILER-XO2,CE04OSPD-DP01B-01-CTDPFL105-recovered_inst-dpc_ctd_instrument_recovered,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,sea_water_practical_salinity""","""200,300,400,500,550""","""150,600""",lttb
RS03AXPD-DP03A-06-DOSTAD304,OXY-PROFILER,RS03AXPD-DP03A-06-DOSTAD304-recovered_inst-dpc_optode_instrument_recovered,None,"""time,corrected_dissolved_oxygen,int_ctd_pressure""","""200,400,1200,1500,2000,2500,2600""","""150,2650""",lttb
RS01SBPD-DP01A-06-DOSTAD104,OXY-PROFILER,RS01SBPD-DP01A-06-DOSTAD104-recovered_inst-dpc_optode_instrument_recovered,None,"""time,corrected_dissolved_oxygen,int_ctd_pressure""","""200,400,1200,1500,2000,2500,2900""","""150,2900""",lttb
CE04OSPD-DP01B-06-DOSTAD105,OXY-PROFILER,CE04OSPD-DP01B-06-DOSTAD105-recovered_inst-dpc_optode_instrument_recovered,None,"""time,corrected_dissolved_oxygen,int_ctd_pressure""","""200,300,400,500,550""","""150,600""",lttb
RS03AXPD-DP03A-03-FLCDRA302,FLC-PROFILER,RS03AXPD-DP03A-03-FLCDRA302-recovered_inst-dpc_flcdrtd_instrument_recovered,None,"""time,flcdr_x_mmp_cds_fluorometric_cdom,int_ctd_pressure""","""200,400,1200,1500,2000,2500,2600""","""150,2650""",lttb
RS03AXPD-DP03A-03-FLNTUA302,FLN-PROFILER,RS03AXPD-DP03A-03-FLNTUA302-recovered_inst-dpc_flnturtd_instrument_recovered,None,"""time,flntu_x_mmp_cds_fluorometric_chlorophyll_a,flntu_x_mmp_cds_bback_total,flntu_x_mmp_cds_total_volume_scattering_coefficient,int_ctd_pressure""","""200,400,1200,1500,2000,2500,2600""","""150,2650""",lttb
RS01SBPD-DP01A-03-FLCDRA102,FLC-PROFILER,RS01SBPD-DP01A-03-FLCDRA102-recovered_inst-dpc_flcdrtd_instrument_recovered,None,"""time,flcdr_x_mmp_cds_fluorometric_cdom,int_ctd_pressure""","""200,400,1200,1500,2000,2500,2900""","""150,2900""",lttb
RS01SBPD-DP01A-04-FLNTUA102,FLN-PROFILER,RS01SBPD-DP01A-04-FLNTUA102-recovered_inst-dpc_flnturtd_instrument_recovered,None,"""time,flntu_x_mmp_cds_fluorometric_chlorophyll_a,flntu_x_mmp_cds_bback_total,flntu_x_mmp_cds_total_volume_scattering_coefficient,int_ctd_pressure""","""200,400,1200,1500,2000,2500,2900""","""150,2900""",lttb
CE04OSPD-DP01B-03-FLCDRA103,FLC-PROFILER,CE04OSPD-DP01B-03-FLCDRA103-recovered_inst-dpc_flcdrtd_instrument_recovered,None,"""time,flcdr_x_mmp_cds_fluorometric_cdom,int_ctd_pressure""","""200,300,400,500,550""","""150,600""",lttb
CE04OSPD-DP01B-04-FLNTUA103,FLN-PROFILER,CE04OSPD-DP01B-04-FLNTUA103-recovered_inst-dpc_flnturtd_instrument_recovered,None,"""time,flntu_x_mmp_cds_fluorometric_chlorophyll_a,flntu_x_mmp_cds_bback_total,flntu_x_mmp_cds_total_volume_scattering_coefficient,int_ctd_pressure""","""200,300,400,500,550""","""150,600""",lttb
RS03AXPD-DP03A-02-VEL3DA303,VEL3D-PROFILER,RS03AXPD-DP03A-02-VEL3DA303-recovered_inst-dpc_acm_instrument_recovered,None,"""time,vel3d_a_eastward_velocity,vel3d_a_northward_velocity,vel3d_a_upward_velocity_ascending,vel3d_a_upward_velocity_descending,int_ctd_pressure""","""200,400,1200,1500,2000,2500,2600""","""150,2650""",lttb
RS01SBPD-DP01A-02-VEL3DA103,VEL3D-PROFILER,RS01SBPD-DP01A-02-VEL3DA103-recovered_inst-dpc_acm_instrument_recovered,None,"""time,vel3d_a_eastward_velocity,vel3d_a_northward_velocity,vel3d_a_upward_velocity_ascending,vel3d_a_upward_velocity_descending,int_ctd_pressure""","""200,400,1200,1500,2000,2500,2900""","""150,2900""",lttb
CE04OSPD-DP01B-02-VEL3DA105,VEL3D-PROFILER,CE04OSPD-DP01B-02-VEL3DA105-recovered_inst-dpc_acm_instrument_recovered,None,"""time,vel3d_a_eastward_velocity,vel3d_a_northward_velocity,vel3d_a_upward_velocity_ascending,vel3d_a_upward_velocity_descending,int_ctd_pressure""","""200,300,400,500,550""","""150,600""",lttb
CE02SHBP-LJ01D-10-PHSEND103,PH-FIXED,CE02SHBP-LJ01D-10-PHSEND103-streamed-phsen_data_record,None,"""time,ph_seawater""",Single,None,lttb
