instrument,plotParameters
CTD-FIXED,"""temperature,salinity,conductivity,density,oxygen,sea_water_pressure"""
CTD-FIXED-XO2,"""temperature,salinity,conductivity,density,sea_water_pressure"""
CTD-PROFILER,"""temperature,salinity,conductivity,density,oxygen"""
CTD-PROFILER-XO2,"""temperature,salinity,conductivity,density"""
FLC-PROFILER,"""cdom"""
FLN-PROFILER,"""chlorophyll,backscatter"""
FLR-PROFILER,"""chlorophyll,cdom,backscatter"""
FLR-FIXED,"""chlorophyll,cdom,backscatter"""
NUT-PROFILER,"""nitrate"""
NUT-FIXED,"""nitrate"""
OXY-PROFILER,"""oxygen"""
PAR-PROFILER,"""par"""
PCO2-PROFILER,"""pco2"""
PCO2-FIXED,"""pco2"""
PH-PROFILER,"""ph"""
PH-FIXED,"""ph"""
PH-CTD-FIXED,"""ph,temperature,salinity,conductivity,density,oxygen,sea_water_pressure"""
SPKIR-PROFILER,"""spectral_irradiance_412nm,spectral_irradiance_443nm,spectral_irradiance_490nm,spectral_irradiance_510nm,spectral_irradiance_555nm,spectral_irradiance_620nm,spectral_irradiance_683nm"""
VELPT-PROFILER,"""velocity_east,velocity_north,velocity_up"""
ADCP-PROFILER,"""velocity_east,velocity_north,velocity_up,percent_good_beam,echo_intensity,correlation_magnitude,error_seawater_velocity"""
D1000-FIXED,"""temperature"""
TRHPH-FIXED,"""resistivity,vent_temperature"""
PREST-FIXED,"""seafloor_pressure,temperature"""
HPIES-FIXED,"""seafloor_pressure,temperature"""
TMPSF-FIXED,"""temperature"""
VEL3D-FIXED,"""velocity_east,velocity_north,velocity_up,echo_intensity,correlation_magnitude,seawater_pressure_mbar"""
VEL3D-PROFILER,"""velocity_east,velocity_north,velocity_up"""
BOTPT-FIXED,"""mean_seafloor_depth,seafloor_uplift_10m,seafloor_uplift_5m,seafloor_uplift_predicted_tide"""
OPTAA-FIXED,"""dark_counts,temperature,ratios,chlorophyll,poc"""
OPTAA-PROFILER,"""dark_counts,temperature,ratios,chlorophyll,poc"""
