zarrFile,calculations,runDuringHarvest
RS03AXPS-SF03A-3B-OPTAAD301-streamed-optaa_sample,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
RS03AXBS-LJ03A-11-OPTAAC303-streamed-optaa_sample,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
CE04OSPS-SF01B-3B-OPTAAD105-streamed-optaa_sample,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
RS01SBPS-SF01A-3B-OPTAAD101-streamed-optaa_sample,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
RS01SLBS-LJ01A-11-OPTAAC103-streamed-optaa_sample,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
CE04OSBP-LJ01C-08-OPTAAC104-streamed-optaa_sample,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
CE02SHBP-LJ01D-08-OPTAAD106-streamed-optaa_sample,opt_internal_temp|opt_external_temp|opt_calculate_all_optical_products,False
CE02SHBP-LJ01D-09-PCO2WB103-streamed-pco2w_b_sami_data_record,pco2_test_function,True
CE04OSPS-SF01B-2B-PHSENA108-streamed-phsen_data_record,ph_advanced_flags,True
CE04OSPS-PC01B-4B-PHSENA106-streamed-phsen_data_record,ph_advanced_flags,True
RS01SBPS-PC01A-4B-PHSENA102-streamed-phsen_data_record,ph_advanced_flags,True
RS01SBPS-SF01A-2D-PHSENA101-streamed-phsen_data_record,ph_advanced_flags,True
RS03AXPS-PC03A-4B-PHSENA302-streamed-phsen_data_record,ph_advanced_flags,True
RS03AXPS-SF03A-2D-PHSENA301-streamed-phsen_data_record,ph_advanced_flags,True
CE02SHBP-LJ01D-10-PHSEND103-streamed-phsen_data_record,ph_advanced_flags,True
CE04OSPS-SF01B-4A-NUTNRA102-streamed-nutnr_a_sample,nutnr_plant2023|nutnr_advanced_flags,True
RS01SBPS-SF01A-4A-NUTNRA101-streamed-nutnr_a_sample,nutnr_plant2023|nutnr_advanced_flags,True
RS03AXPS-SF03A-4A-NUTNRA301-streamed-nutnr_a_sample,nutnr_plant2023|nutnr_advanced_flags,True
RS01SLBS-LJ01A-10-ADCPTE101-streamed-adcp_velocity_beam,adcp_advanced_flags,False
RS01SBPS-PC01A-4C-FLORDD103-streamed-flort_d_data_record,flor_advanced_flags,False
CE04OSPS-SF01B-3A-FLORTD104-streamed-flort_d_data_record,flor_advanced_flags,False
CE04OSPS-PC01B-4D-PCO2WA105-streamed-pco2w_a_sami_data_record,pco2w_advanced_flags,False
CE04OSPS-SF01B-4B-VELPTD106-streamed-velpt_velocity_data,velpt_advanced_flags,False
RS01SLBS-MJ01A-12-VEL3DB101-streamed-vel3d_b_sample,vel3d_advanced_flags,False
