refDes,stage,instrument,zarrFile,nearestNeighbors,dataParameters,depths,depthMinMax,decimationAlgo
CE02SHBP-LJ01D-06-CTDBPN106,1,CTD-FIXED,CE02SHBP-LJ01D-06-CTDBPN106-streamed-ctdbp_no_sample,"""CE04OSBP-LJ01C-06-CTDBPO108""","""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""",Single,None,lttb
CE04OSBP-LJ01C-06-CTDBPO108,1,CTD-FIXED,CE04OSBP-LJ01C-06-CTDBPO108-streamed-ctdbp_no_sample,"""CE02SHBP-LJ01D-06-CTDBPN106""","""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""",Single,None,lttb
RS01SLBS-LJ01A-12-CTDPFB101,1,CTD-FIXED,RS01SLBS-LJ01A-12-CTDPFB101-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""",Single,None,lttb
RS03AXBS-LJ03A-12-CTDPFB301,1,CTD-FIXED,RS03AXBS-LJ03A-12-CTDPFB301-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""",Single,None,lttb
RS03ASHS-MJ03B-10-CTDPFB304,1,CTD-FIXED-XO2,RS03ASHS-MJ03B-10-CTDPFB304-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,sea_water_practical_salinity""",Single,None,lttb
RS03CCAL-MJ03F-12-CTDPFB305,1,CTD-FIXED-XO2,RS03CCAL-MJ03F-12-CTDPFB305-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,sea_water_practical_salinity""",Single,None,lttb
RS03ECAL-MJ03E-12-CTDPFB306,1,CTD-FIXED-XO2,RS03ECAL-MJ03E-12-CTDPFB306-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,sea_water_practical_salinity""",Single,None,lttb
RS03INT2-MJ03D-11-CTDPFB307,1,CTD-FIXED-XO2,RS03INT2-MJ03D-11-CTDPFB307-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,sea_water_practical_salinity""",Single,None,lttb
RS01SBPS-PC01A-4A-CTDPFA103,1,CTD-FIXED,RS01SBPS-PC01A-4A-CTDPFA103-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""",Single,None,lttb
CE04OSPS-PC01B-4A-CTDPFA109,1,CTD-FIXED,CE04OSPS-PC01B-4A-CTDPFA109-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""",Single,None,lttb
RS03AXPS-PC03A-4A-CTDPFA303,1,CTD-FIXED,RS03AXPS-PC03A-4A-CTDPFA303-streamed-ctdpf_optode_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""",Single,None,lttb
RS01SBPS-SF01A-2A-CTDPFA102,1,CTD-PROFILER,RS01SBPS-SF01A-2A-CTDPFA102-streamed-ctdpf_sbe43_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
CE04OSPS-SF01B-2A-CTDPFA107,1,CTD-PROFILER,CE04OSPS-SF01B-2A-CTDPFA107-streamed-ctdpf_sbe43_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS03AXPS-SF03A-2A-CTDPFA302,1,CTD-PROFILER,RS03AXPS-SF03A-2A-CTDPFA302-streamed-ctdpf_sbe43_sample,None,"""time,sea_water_temperature,sea_water_electrical_conductivity,sea_water_pressure,sea_water_density,corrected_dissolved_oxygen,sea_water_practical_salinity""","""010,025,050,075,100,125,150,175""","""0,200""",lttb
RS01SBPS-PC01A-4C-FLORDD103,1,FLR-FIXED,RS01SBPS-PC01A-4C-FLORDD103-streamed-flort_d_data_record,None,"""time,fluorometric_chlorophyll_a,fluorometric_cdom,optical_backscatter,int_ctd_pressure,raw_signal_chl,raw_signal_beta,raw_signal_cdom""",Single,None,lttb
RS03AXPS-PC03A-4C-FLORDD303,1,FLR-FIXED,RS03AXPS-PC03A-4C-FLORDD303-streamed-flort_d_data_record,None,"""time,fluorometric_chlorophyll_a,fluorometric_cdom,optical_backscatter,int_ctd_pressure,raw_signal_chl,raw_signal_beta,raw_signal_cdom""",Single,None,lttb
