parameter,variableNames
temperature,"""sea_water_temperature,temperature1,temperature2,temperature3,pressure_temp,hpies_temperature,temperature01,temperature02,temperature03,temperature04,temperature05,temperature06,temperature07,temperature08,temperature09,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24,int_temp,ext_temp"""
conductivity,"""sea_water_electrical_conductivity"""
pressure,"""sea_water_pressure,int_ctd_pressure,bin_depths,vadcp_b_bin_depths"""
density,"""sea_water_density"""
oxygen,"""dissolved_oxygen,corrected_dissolved_oxygen,dosta_abcdjm_cspp_tc_oxygen"""
salinity,"""sea_water_practical_salinity"""
chlorophyll,"""fluorometric_chlorophyll_a,flntu_x_mmp_cds_fluorometric_chlorophyll_a,estimated_chlorophyll"""
cdom,"""fluorometric_cdom,flcdr_x_mmp_cds_fluorometric_cdom"""
backscatter,"""optical_backscatter,flntu_x_mmp_cds_bback_total"""
total_volume_scattering,"""flntu_x_mmp_cds_total_volume_scattering_coefficient"""
nitrate,"""nitrate_concentration,salinity_corrected_nitrate"""
par,"""par_counts_output"""
pco2,"""pco2_seawater"""
ph,"""ph_seawater,ph_total"""
resistivity,"""resistivity_5,resistivity_x1,resistivity_x5"""
spectral_irradiance_412nm,"""spkir_downwelling_vector_412nm"""
spectral_irradiance_443nm,"""spkir_downwelling_vector_443nm"""
spectral_irradiance_490nm,"""spkir_downwelling_vector_490nm"""
spectral_irradiance_510nm,"""spkir_downwelling_vector_510nm"""
spectral_irradiance_555nm,"""spkir_downwelling_vector_555nm"""
spectral_irradiance_620nm,"""spkir_downwelling_vector_620nm"""
spectral_irradiance_683nm,"""spkir_downwelling_vector_683nm"""
velocity_east,"""velpt_d_eastward_velocity,eastward_seawater_velocity,vel3d_c_eastward_turbulent_velocity,eastward_turbulent_velocity,vel3d_a_eastward_velocity,vadcp_b_beam_eastward"""
velocity_north,"""velpt_d_northward_velocity,northward_seawater_velocity,vel3d_c_northward_turbulent_velocity,northward_turbulent_velocity,vel3d_a_northward_velocity,vadcp_b_beam_northward"""
velocity_up,"""velpt_d_upward_velocity,upward_seawater_velocity,vel3d_c_upward_turbulent_velocity,upward_turbulent_velocity,vel3d_a_upward_velocity_ascending,vadcp_b_beam_vertical_true"""
percent_good_beam,"""percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4"""
echo_intensity,"""corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,amplitude_beam_1,amplitude_beam_2,amplitude_beam_3,amplitude_beam1,amplitude_beam2,amplitude_beam3,amplitude_beam4"""
correlation_magnitude,"""correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,correlation_beam_1,correlation_beam_2,correlation_beam_3"""
error_seawater_velocity,"""error_seawater_velocity"""
vent_temperature,"""vent_fluid_temperature"""
sea_water_pressure,"""sea_water_pressure"""
seafloor_pressure,"""seafloor_pressure,hpies_pressure_L1"""
seawater_pressure_mbar,"""sea_water_pressure_mbar"""
bottom_pressure_psi,"""bottom_pressure"""
mean_seafloor_depth,"""botsflu_meandepth"""
seafloor_uplift_10m,"""botsflu_10minrate"""
seafloor_uplift_5m,"""botsflu_5minrate"""
seafloor_uplift_predicted_tide,"""botsflu_predtide"""
dark_counts,"""a_reference_dark_counts,a_signal_dark_counts,c_reference_dark_counts,c_signal_dark_counts"""
ratios,"""ratio_cdom,ratio_carotenoids,ratio_phycobilins,ratio_qband"""
poc,"""estimated_poc"""
