variable,min,max,profileMin,profileMax,label,colorMap,static
temperature,0,15,5,20,degrees C,thermal,FALSE
conductivity,3,4,3,4,s/m,haline,FALSE
salinity,31,35,30,35,psu,haline,FALSE
density,1020,1045,1022,1030,kg/m^3,dense,FALSE
oxygen,0,550,0,550,uMol/kg,matter,FALSE
nitrate,0,50,0,30,uMol,deep,FALSE
chlorophyll,0,3,0,3,mg/m^3,tempo,FALSE
cdom,0,375,0,375,ppb,tempo,FALSE
backscatter,0,3,0,3,m-1,tempo,FALSE
par,0,100,0,100,par,solar,FALSE
pco2,200,2000,200,1200,uMol,matter,FALSE
ph,6,9,7.4,8.4,pH,matter,FALSE
resistivity,0,5,0,5,volts,matter,FALSE
spectral_irradiance_412nm,-5,150,-5,150,uW/m2/nm,thermal,FALSE
spectral_irradiance_443nm,-5,150,-5,150,uW/m2/nm,thermal,FALSE
spectral_irradiance_490nm,-5,150,-5,150,uW/m2/nm,thermal,FALSE
spectral_irradiance_510nm,-5,150,-5,150,uW/m2/nm,thermal,FALSE
spectral_irradiance_555nm,-5,150,-5,150,uW/m2/nm,thermal,FALSE
spectral_irradiance_620nm,-5,150,-5,150,uW/m2/nm,thermal,FALSE
spectral_irradiance_683nm,-5,150,-5,150,uW/m2/nm,thermal,FALSE
velocity_east,-2.5,2.5,-2.5,2.5,m/s,balance,FALSE
velocity_north,-2.5,2.5,-2.5,2.5,m/s,balance,FALSE
velocity_up,-4,4,-4,4,m/s,balance,FALSE
percent_good_beam,0,100,0,100,percent,matter,TRUE
echo_intensity,10,80,10,80,dB,haline,FALSE
correlation_magnitude,0,255,0,255," ",solar,TRUE
error_seawater_velocity,-0.2,0.2,-0.2,0.2,m/s,balance,FALSE
vent_temperature,0,400,0,400,degrees C,thermal,FALSE
sea_water_pressure,0,3500,0,3500,dbar,thermal,FALSE
seafloor_pressure,2000,3500,2000,3500,dbar,thermal,FALSE
seawater_pressure_mbar,0,700000,0,700000,mbar,thermal,FALSE
bottom_pressure_psi,0,3000,0,3000,psi,thermal,FALSE
mean_seafloor_depth,500,3000,500,3000,meters,thermal,FALSE
seafloor_uplift_10m,-0.1,0.1,-0.1,0.1,cm/min,thermal,FALSE
seafloor_uplift_5m,-0.1,0.1,-0.1,0.1,cm/min,thermal,FALSE
seafloor_uplift_predicted_tide,-5,15,-5,15,meters,thermal,FALSE
dark_counts,0,1000,0,1000,counts,thermal,FALSE
ratios,0,1,0,1," ",thermal,FALSE
poc,0,3000,0,3000,mg/m^3,tempo,FALSE
